Group num: 0, TC(X;Y_j): 3.976
player, 0.088, 1.000, 0.088
mp3, 0.084, 1.000, 0.084
software, 0.083, 1.000, 0.083
use, 0.072, 1.000, 0.072
play, 0.072, 1.000, 0.072
files, 0.072, 1.000, 0.072
screen, 0.064, 1.000, 0.064
device, 0.060, 1.000, 0.060
usb, 0.059, 1.000, 0.059
songs, 0.057, 1.000, 0.057
button, 0.056, 1.000, 0.056
features, 0.054, 1.000, 0.054
buttons, 0.053, 1.000, 0.053
ipod, 0.052, 1.000, 0.052
computer, 0.048, 1.000, 0.048
feature, 0.047, 1.000, 0.047
does, 0.044, 1.000, 0.044
players, 0.043, 1.000, 0.043
windows, 0.043, 1.000, 0.043
easy, 0.042, 1.000, 0.042
song, 0.042, 1.000, 0.042
interface, 0.041, 1.000, 0.041
file, 0.040, 1.000, 0.040
control, 0.040, 1.000, 0.040
display, 0.040, 1.000, 0.040
video, 0.038, 1.000, 0.038
remote, 0.038, 1.000, 0.038
media, 0.037, 1.000, 0.037
firmware, 0.037, 1.000, 0.037
itunes, 0.037, 1.000, 0.037
user, 0.036, 1.000, 0.036
playing, 0.036, 1.000, 0.036
drive, 0.035, 1.000, 0.035
menu, 0.035, 1.000, 0.035
touch, 0.033, 1.000, 0.033
format, 0.032, 1.000, 0.032
pc, 0.032, 1.000, 0.032
download, 0.032, 1.000, 0.032
mode, 0.031, 1.000, 0.031
memory, 0.031, 1.000, 0.031
manual, 0.031, 1.000, 0.031
apple, 0.031, 1.000, 0.031
settings, 0.029, 1.000, 0.029
controls, 0.028, 1.000, 0.028
album, 0.028, 1.000, 0.028
transfer, 0.027, 1.000, 0.027
available, 0.027, 1.000, 0.027
devices, 0.027, 1.000, 0.027
change, 0.026, 1.000, 0.026
simple, 0.026, 1.000, 0.026
track, 0.026, 1.000, 0.026
select, 0.024, 1.000, 0.024
function, 0.024, 1.000, 0.024
press, 0.024, 1.000, 0.024
playback, 0.024, 1.000, 0.024
card, 0.023, 1.000, 0.023
takes, 0.022, 1.000, 0.022
functions, 0.022, 1.000, 0.022
playlists, 0.022, 1.000, 0.022
program, 0.022, 1.000, 0.022
allows, 0.022, 1.000, 0.022
add, 0.022, 1.000, 0.022
access, 0.021, 1.000, 0.021
app, 0.021, 1.000, 0.021
works, 0.021, 1.000, 0.021
list, 0.021, 1.000, 0.021
recording, 0.021, 1.000, 0.021
options, 0.021, 1.000, 0.021
intuitive, 0.021, 1.000, 0.021
drag, 0.021, 1.000, 0.021
